gage_number,gage_name,date,time,tz,height,unit
8165500,Guad Rv at Hunt,2025-07-04,0:00,CDT,7.64,ft
8165500,Guad Rv at Hunt,2025-07-04,0:05,CDT,7.66,ft
8165500,Guad Rv at Hunt,2025-07-04,0:10,CDT,7.68,ft
8165500,Guad Rv at Hunt,2025-07-04,0:15,CDT,7.69,ft
8165500,Guad Rv at Hunt,2025-07-04,0:20,CDT,7.68,ft
8165500,Guad Rv at Hunt,2025-07-04,0:25,CDT,7.68,ft
8165500,Guad Rv at Hunt,2025-07-04,0:30,CDT,7.68,ft
8165500,Guad Rv at Hunt,2025-07-04,0:35,CDT,7.67,ft
8165500,Guad Rv at Hunt,2025-07-04,0:40,CDT,7.67,ft
8165500,Guad Rv at Hunt,2025-07-04,0:45,CDT,7.67,ft
8165500,Guad Rv at Hunt,2025-07-04,0:50,CDT,7.67,ft
8165500,Guad Rv at Hunt,2025-07-04,0:55,CDT,7.67,ft
8165500,Guad Rv at Hunt,2025-07-04,1:00,CDT,7.68,ft
8165500,Guad Rv at Hunt,2025-07-04,1:05,CDT,7.68,ft
8165500,Guad Rv at Hunt,2025-07-04,1:10,CDT,7.69,ft
8165500,Guad Rv at Hunt,2025-07-04,1:15,CDT,7.69,ft
8165500,Guad Rv at Hunt,2025-07-04,1:20,CDT,7.7,ft
8165500,Guad Rv at Hunt,2025-07-04,1:25,CDT,7.71,ft
8165500,Guad Rv at Hunt,2025-07-04,1:30,CDT,7.71,ft
8165500,Guad Rv at Hunt,2025-07-04,1:35,CDT,7.72,ft
8165500,Guad Rv at Hunt,2025-07-04,1:40,CDT,7.75,ft
8165500,Guad Rv at Hunt,2025-07-04,1:45,CDT,7.78,ft
8165500,Guad Rv at Hunt,2025-07-04,1:50,CDT,7.83,ft
8165500,Guad Rv at Hunt,2025-07-04,1:55,CDT,7.89,ft
8165500,Guad Rv at Hunt,2025-07-04,2:00,CDT,7.98,ft
8165500,Guad Rv at Hunt,2025-07-04,2:05,CDT,8.13,ft
8165500,Guad Rv at Hunt,2025-07-04,2:10,CDT,8.27,ft
8165500,Guad Rv at Hunt,2025-07-04,2:15,CDT,8.4,ft
8165500,Guad Rv at Hunt,2025-07-04,2:20,CDT,8.54,ft
8165500,Guad Rv at Hunt,2025-07-04,2:25,CDT,8.7,ft
8165500,Guad Rv at Hunt,2025-07-04,2:30,CDT,8.82,ft
8165500,Guad Rv at Hunt,2025-07-04,2:35,CDT,8.93,ft
8165500,Guad Rv at Hunt,2025-07-04,2:40,CDT,9,ft
8165500,Guad Rv at Hunt,2025-07-04,2:45,CDT,9.06,ft
8165500,Guad Rv at Hunt,2025-07-04,2:50,CDT,9.15,ft
8165500,Guad Rv at Hunt,2025-07-04,2:55,CDT,9.41,ft
8165500,Guad Rv at Hunt,2025-07-04,3:00,CDT,10.1,ft
8165500,Guad Rv at Hunt,2025-07-04,3:05,CDT,11.03,ft
8165500,Guad Rv at Hunt,2025-07-04,3:10,CDT,11.93,ft
8165500,Guad Rv at Hunt,2025-07-04,3:15,CDT,13.03,ft
8165500,Guad Rv at Hunt,2025-07-04,3:20,CDT,13.99,ft
8165500,Guad Rv at Hunt,2025-07-04,3:25,CDT,14.94,ft
8165500,Guad Rv at Hunt,2025-07-04,3:30,CDT,15.9,ft
8165500,Guad Rv at Hunt,2025-07-04,3:35,CDT,16.81,ft
8165500,Guad Rv at Hunt,2025-07-04,3:40,CDT,17.52,ft
8165500,Guad Rv at Hunt,2025-07-04,3:45,CDT,18.39,ft
8165500,Guad Rv at Hunt,2025-07-04,3:50,CDT,19.35,ft
8165500,Guad Rv at Hunt,2025-07-04,3:55,CDT,20.3,ft
8165500,Guad Rv at Hunt,2025-07-04,4:00,CDT,21.11,ft
8165500,Guad Rv at Hunt,2025-07-04,4:05,CDT,21.99,ft
8165500,Guad Rv at Hunt,2025-07-04,4:10,CDT,22.85,ft
8165500,Guad Rv at Hunt,2025-07-04,4:15,CDT,23.73,ft
8165500,Guad Rv at Hunt,2025-07-04,4:20,CDT,24.7,ft
8165500,Guad Rv at Hunt,2025-07-04,4:25,CDT,26.92,ft
8165500,Guad Rv at Hunt,2025-07-04,4:30,CDT,28.21,ft
8165500,Guad Rv at Hunt,2025-07-04,4:35,CDT,29.45,ft
8165500,Guad Rv at Hunt,2025-07-04,5:10,CDT,37.52,ft
8165500,Guad Rv at Hunt,2025-07-04,5:45,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,6:20,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,6:55,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,7:30,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,8:05,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,8:40,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,9:15,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,9:50,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,10:25,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,11:00,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,11:35,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,12:10,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,12:45,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,13:20,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,13:55,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,14:30,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,15:05,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,15:40,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,16:15,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,16:50,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,17:25,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,18:00,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,18:35,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,19:10,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,19:45,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,20:20,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,20:55,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,21:30,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,22:05,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,22:40,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,23:15,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-04,23:50,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,0:25,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,1:00,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,1:35,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,2:10,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,2:45,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,3:20,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,3:55,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,4:30,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,5:05,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,5:40,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,6:15,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,6:50,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,7:25,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,8:00,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,8:35,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,9:10,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,9:45,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,10:20,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,10:55,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,11:30,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,12:05,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,12:40,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,13:15,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,13:50,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,14:25,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,15:00,CDT,NA,ft
8165500,Guad Rv at Hunt,2025-07-05,15:35,CDT,8.89,ft
8165500,Guad Rv at Hunt,2025-07-05,15:45,CDT,8.89,ft
8165500,Guad Rv at Hunt,2025-07-05,15:50,CDT,8.88,ft
8165500,Guad Rv at Hunt,2025-07-05,15:55,CDT,8.88,ft
8165500,Guad Rv at Hunt,2025-07-05,16:00,CDT,8.87,ft
8165500,Guad Rv at Hunt,2025-07-05,16:05,CDT,8.87,ft
8165500,Guad Rv at Hunt,2025-07-05,16:10,CDT,8.87,ft
8165500,Guad Rv at Hunt,2025-07-05,16:15,CDT,8.87,ft
8165500,Guad Rv at Hunt,2025-07-05,16:20,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,16:25,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,16:30,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,16:35,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,16:40,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,16:45,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,16:50,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,16:55,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,17:00,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,17:05,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,17:10,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,17:15,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,17:20,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,17:25,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,17:30,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,17:35,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,17:40,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,17:45,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,17:50,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,17:55,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,18:00,CDT,8.87,ft
8165500,Guad Rv at Hunt,2025-07-05,18:05,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,18:10,CDT,8.87,ft
8165500,Guad Rv at Hunt,2025-07-05,18:15,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,18:20,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,18:25,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,18:30,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,18:35,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,18:40,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,18:45,CDT,8.86,ft
8165500,Guad Rv at Hunt,2025-07-05,18:50,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,18:55,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,19:00,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,19:05,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,19:10,CDT,8.84,ft
8165500,Guad Rv at Hunt,2025-07-05,19:15,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,19:20,CDT,8.84,ft
8165500,Guad Rv at Hunt,2025-07-05,19:25,CDT,8.85,ft
8165500,Guad Rv at Hunt,2025-07-05,19:30,CDT,8.84,ft
8165500,Guad Rv at Hunt,2025-07-05,19:35,CDT,8.84,ft
8165500,Guad Rv at Hunt,2025-07-05,19:40,CDT,8.83,ft
8165500,Guad Rv at Hunt,2025-07-05,19:45,CDT,8.83,ft
8165500,Guad Rv at Hunt,2025-07-05,19:50,CDT,8.81,ft
8165500,Guad Rv at Hunt,2025-07-05,19:55,CDT,8.81,ft
8165500,Guad Rv at Hunt,2025-07-05,20:00,CDT,8.8,ft
8165500,Guad Rv at Hunt,2025-07-05,20:05,CDT,8.8,ft
8165500,Guad Rv at Hunt,2025-07-05,20:10,CDT,8.8,ft
8165500,Guad Rv at Hunt,2025-07-05,20:15,CDT,8.79,ft
8165500,Guad Rv at Hunt,2025-07-05,20:20,CDT,8.79,ft
8165500,Guad Rv at Hunt,2025-07-05,20:25,CDT,8.79,ft
8165500,Guad Rv at Hunt,2025-07-05,20:30,CDT,8.78,ft
8165500,Guad Rv at Hunt,2025-07-05,20:35,CDT,8.78,ft
8165500,Guad Rv at Hunt,2025-07-05,20:40,CDT,8.78,ft
8165500,Guad Rv at Hunt,2025-07-05,20:45,CDT,8.77,ft
8165500,Guad Rv at Hunt,2025-07-05,20:50,CDT,8.77,ft
8165500,Guad Rv at Hunt,2025-07-05,20:55,CDT,8.77,ft
8165500,Guad Rv at Hunt,2025-07-05,21:00,CDT,8.77,ft
8165500,Guad Rv at Hunt,2025-07-05,21:05,CDT,8.77,ft
8165500,Guad Rv at Hunt,2025-07-05,21:10,CDT,8.76,ft
8165500,Guad Rv at Hunt,2025-07-05,21:15,CDT,8.76,ft
8165500,Guad Rv at Hunt,2025-07-05,21:20,CDT,8.76,ft
8165500,Guad Rv at Hunt,2025-07-05,21:25,CDT,8.75,ft
8165500,Guad Rv at Hunt,2025-07-05,21:30,CDT,8.75,ft
8165500,Guad Rv at Hunt,2025-07-05,21:35,CDT,8.75,ft
8165500,Guad Rv at Hunt,2025-07-05,21:40,CDT,8.74,ft
8165500,Guad Rv at Hunt,2025-07-05,21:45,CDT,8.74,ft
8165500,Guad Rv at Hunt,2025-07-05,21:50,CDT,8.74,ft
8165500,Guad Rv at Hunt,2025-07-05,21:55,CDT,8.74,ft
8165500,Guad Rv at Hunt,2025-07-05,22:00,CDT,8.73,ft
8165500,Guad Rv at Hunt,2025-07-05,22:05,CDT,8.73,ft
8165500,Guad Rv at Hunt,2025-07-05,22:10,CDT,8.73,ft
8165500,Guad Rv at Hunt,2025-07-05,22:15,CDT,8.73,ft
8165500,Guad Rv at Hunt,2025-07-05,22:20,CDT,8.73,ft
8165500,Guad Rv at Hunt,2025-07-05,22:25,CDT,8.72,ft
8165500,Guad Rv at Hunt,2025-07-05,22:30,CDT,8.72,ft
8165500,Guad Rv at Hunt,2025-07-05,22:35,CDT,8.72,ft
8165500,Guad Rv at Hunt,2025-07-05,22:40,CDT,8.72,ft
8165500,Guad Rv at Hunt,2025-07-05,22:45,CDT,8.71,ft
8165500,Guad Rv at Hunt,2025-07-05,22:50,CDT,8.72,ft
8165500,Guad Rv at Hunt,2025-07-05,22:55,CDT,8.71,ft
8165500,Guad Rv at Hunt,2025-07-05,23:00,CDT,8.71,ft
8165500,Guad Rv at Hunt,2025-07-05,23:05,CDT,8.71,ft
8165500,Guad Rv at Hunt,2025-07-05,23:10,CDT,8.7,ft
8165500,Guad Rv at Hunt,2025-07-05,23:15,CDT,8.71,ft
8165500,Guad Rv at Hunt,2025-07-05,23:20,CDT,8.7,ft
8165500,Guad Rv at Hunt,2025-07-05,23:25,CDT,8.7,ft
8165500,Guad Rv at Hunt,2025-07-05,23:30,CDT,8.7,ft
8165500,Guad Rv at Hunt,2025-07-05,23:35,CDT,8.69,ft
8165500,Guad Rv at Hunt,2025-07-05,23:40,CDT,8.69,ft
8165500,Guad Rv at Hunt,2025-07-05,23:45,CDT,8.69,ft
8165500,Guad Rv at Hunt,2025-07-05,23:50,CDT,8.7,ft
8165500,Guad Rv at Hunt,2025-07-05,23:55,CDT,8.69,ft
8165500,Guad Rv at Hunt,2025-07-06,0:00,CDT,8.69,ft
8165500,Guad Rv at Hunt,2025-07-06,0:05,CDT,8.69,ft
8165500,Guad Rv at Hunt,2025-07-06,0:10,CDT,8.69,ft
8165500,Guad Rv at Hunt,2025-07-06,0:15,CDT,8.69,ft
8165500,Guad Rv at Hunt,2025-07-06,0:20,CDT,8.68,ft
8165500,Guad Rv at Hunt,2025-07-06,0:25,CDT,8.68,ft
8165500,Guad Rv at Hunt,2025-07-06,0:30,CDT,8.68,ft
8165500,Guad Rv at Hunt,2025-07-06,0:35,CDT,8.67,ft
8165500,Guad Rv at Hunt,2025-07-06,0:40,CDT,8.68,ft
8165500,Guad Rv at Hunt,2025-07-06,0:45,CDT,8.68,ft
8165500,Guad Rv at Hunt,2025-07-06,0:50,CDT,8.68,ft
8165500,Guad Rv at Hunt,2025-07-06,0:55,CDT,8.68,ft
8165500,Guad Rv at Hunt,2025-07-06,1:00,CDT,8.67,ft
8165500,Guad Rv at Hunt,2025-07-06,1:05,CDT,8.67,ft
8165500,Guad Rv at Hunt,2025-07-06,1:10,CDT,8.66,ft
8165500,Guad Rv at Hunt,2025-07-06,1:15,CDT,8.66,ft
8165500,Guad Rv at Hunt,2025-07-06,1:20,CDT,8.66,ft
8165500,Guad Rv at Hunt,2025-07-06,1:25,CDT,8.67,ft
8165500,Guad Rv at Hunt,2025-07-06,1:30,CDT,8.66,ft
8165500,Guad Rv at Hunt,2025-07-06,1:35,CDT,8.66,ft
8165500,Guad Rv at Hunt,2025-07-06,1:40,CDT,8.66,ft
8165500,Guad Rv at Hunt,2025-07-06,1:45,CDT,8.66,ft
8165500,Guad Rv at Hunt,2025-07-06,1:50,CDT,8.65,ft
8165500,Guad Rv at Hunt,2025-07-06,1:55,CDT,8.65,ft
8165500,Guad Rv at Hunt,2025-07-06,2:00,CDT,8.66,ft
8165500,Guad Rv at Hunt,2025-07-06,2:05,CDT,8.66,ft
8165500,Guad Rv at Hunt,2025-07-06,2:10,CDT,8.65,ft
8165500,Guad Rv at Hunt,2025-07-06,2:15,CDT,8.65,ft
8165500,Guad Rv at Hunt,2025-07-06,2:20,CDT,8.65,ft
8165500,Guad Rv at Hunt,2025-07-06,2:25,CDT,8.65,ft
8165500,Guad Rv at Hunt,2025-07-06,2:30,CDT,8.65,ft
8165500,Guad Rv at Hunt,2025-07-06,2:35,CDT,8.65,ft
8165500,Guad Rv at Hunt,2025-07-06,2:40,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,2:45,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,2:50,CDT,8.65,ft
8165500,Guad Rv at Hunt,2025-07-06,2:55,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,3:00,CDT,8.65,ft
8165500,Guad Rv at Hunt,2025-07-06,3:05,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,3:10,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,3:15,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,3:20,CDT,8.65,ft
8165500,Guad Rv at Hunt,2025-07-06,3:25,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,3:30,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,3:35,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,3:40,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,3:45,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,3:50,CDT,8.63,ft
8165500,Guad Rv at Hunt,2025-07-06,3:55,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,4:00,CDT,8.64,ft
8165500,Guad Rv at Hunt,2025-07-06,4:05,CDT,8.63,ft
8165500,Guad Rv at Hunt,2025-07-06,4:10,CDT,8.64,ft
